"LMT"	[["PDX", 9.948717948717949], ["SFO", 16.24229074889868]]
"LNK"	[["CID", 0.0], ["DSM", 0.0], ["LAS", 1.9174311926605505], ["ICT", 3.5236907730673317], ["STL", 5.181451931432183], ["FSD", 5.88837744533947], ["PHX", 5.938472942920682], ["DEN", 7.371607262128848], ["SUX", 7.625268048606147], ["OMA", 8.571428571428571], ["DTW", 9.290697674418604], ["MSP", 9.530537159676232], ["ABE", 14.0], ["ORD", 14.463684392435688], ["CRW", 22.0], ["MKE", 87.0], ["PIA", 102.0], ["COS", 306.5]]
"LNY"	[["OGG", 0.0], ["MKK", 1.4090909090909092]]
"LRD"	[["IAH", 5.991189427312776], ["DFW", 10.264253745864954]]
"LSE"	[["STL", 0.0], ["EAU", 3.0202020202020203], ["MSP", 4.141300073037811], ["ORD", 11.741105769230769]]
"LWB"	[["RDU", 2.0952380952380953], ["CLT", 3.980769230769231], ["PIT", 5.333333333333333], ["LGA", 6.084745762711864], ["ATL", 13.340619307832423]]
"LWS"	[["SLC", 4.958731371799771]]
"LYH"	[["ROA", 1.75], ["CLT", 3.8263422818791946], ["CHO", 9.238903394255875], ["ATL", 9.432882799481577], ["BWI", 14.149425287356323]]
"MAF"	[["LAX", 0.0], ["ELP", 3.23190062490474], ["AMA", 3.431558935361217], ["PHX", 4.055530676220331], ["AUS", 4.677183356195702], ["LBB", 5.2084277299501585], ["HOU", 5.994102990033222], ["DAL", 6.068153160726294], ["IAH", 6.866821403926981], ["ABQ", 7.052872062663186], ["DFW", 7.414661121925323], ["LAS", 8.566986205284078]]
"MAZ"	[["SJU", 7.7785714285714285]]
"MBS"	[["GRR", 1.3725490196078431], ["CLE", 2.8247191011235957], ["PIT", 4.007462686567164], ["DTW", 4.224441140278917], ["MSP", 5.45032310177706], ["ORD", 11.697130367911928]]
"MCI"	[["DSM", 0.8346613545816733], ["SJC", 3.2088305489260143], ["MEM", 4.285060129509713], ["MKE", 4.803855825649623], ["MSP", 5.499641639337141], ["DTW", 5.605912596401028], ["CLT", 5.708967121989055], ["MCO", 5.786634202601396], ["CVG", 5.96297192642788], ["IAH", 5.971716232961586], ["DCA", 6.0364171814394485], ["MLI", 6.049773755656108], ["PIT", 6.247478075733766], ["MSY", 6.656830601092897], ["OMA", 6.720458553791887], ["CLE", 6.75031341412453], ["SLC", 6.809549680067608], ["PHL", 7.006029449098756], ["BNA", 7.2035796324655434], ["DFW", 7.293290780650482], ["BWI", 7.370834217788155], ["STL", 7.579833210267993], ["ICT", 7.751798561151079], ["ABQ", 7.752409867172675], ["AUS", 8.060743427017226], ["JAX", 8.374429223744292], ["DEN", 8.515142034789138], ["OKC", 8.558129738837405], ["LGA", 8.618099089989888], ["MDW", 8.699509019694379], ["SEA", 8.748780487804877], ["ONT", 8.824308062575211], ["ATL", 8.935151922108444], ["IND", 8.960998112811911], ["MHT", 9.015719467956469], ["TUL", 9.029413911393329], ["OAK", 9.15186090736213], ["PHX", 9.273655994601485], ["LAS", 9.441307760982667], ["SDF", 9.781021897810218], ["SAN", 9.84335417668751], ["CMH", 10.213403880070548], ["LAX", 10.329308721810666], ["TUS", 10.42603550295858], ["MIA", 10.57190635451505], ["TPA", 10.614918414918415], ["RDU", 10.70110140524117], ["DAL", 10.855862428348098], ["COS", 10.909433962264151], ["ORD", 11.020984654033095], ["JFK", 11.169354838709678], ["PVD", 11.776404942208051], ["SAT", 12.53609958506224], ["BOS", 12.58149316508938], ["PDX", 12.63601000277855], ["EWR", 13.546346489852604], ["MSN", 13.73873873873874], ["SFO", 14.835720601237842], ["SMF", 15.799655172413793], ["HOU", 16.783464566929133], ["RSW", 17.8], ["IAD", 19.24732949876746], ["LNK", 70.0], ["ELP", 134.0], ["SGF", 355.0]]
"MCN"	[["ABY", 0.0], ["CHS", 0.0], ["DFW", 0.0], ["EYW", 0.0], ["FWA", 0.0], ["BQK", 1.0], ["VLD", 1.0], ["ATL", 15.234728094474413], ["VPS", 60.0]]
"MCO"	[["MFE", 0.0], ["MLB", 4.352150537634409], ["TLH", 4.6815933350689924], ["DAB", 4.7592592592592595], ["PNS", 4.915729097727774], ["PFN", 5.072972972972973], ["JAN", 5.120353522225111], ["MEM", 5.1241188959660295], ["CLE", 5.602537307960254], ["DCA", 5.937444196428571], ["SLC", 6.010414374770811], ["ABQ", 6.039701445132603], ["BHM", 6.109914642153644], ["SFO", 6.227466549036906], ["PHF", 6.269230769230769], ["STT", 6.335585585585585], ["MSY", 6.485063734552885], ["IAH", 6.510873275147496], ["HSV", 6.568508705526116], ["CVG", 6.7060554491952065], ["MCI", 6.958898847631242], ["SBN", 7.0], ["CHS", 7.0144927536231885], ["BMI", 7.014691478942214], ["TPA", 7.026094232076557], ["BDL", 7.109915736450981], ["BNA", 7.177476647809499], ["IND", 7.317355756190181], ["CAK", 7.3556161891768985], ["MSP", 7.379544842445462], ["GPT", 7.3983739837398375], ["SRQ", 7.400162999185004], ["SAT", 7.458161865569273], ["CMH", 7.468469460814011], ["PBI", 7.492158990038465], ["RDU", 7.517522739432851], ["AVL", 7.565217391304348], ["GSP", 7.635073492143944], ["GSO", 7.858330943504445], ["DFW", 7.903963893249608], ["BUF", 7.944715865260992], ["IAD", 7.981851246349125], ["CAE", 8.018867924528301], ["CLT", 8.184799004449808], ["PIT", 8.185733709862985], ["MDW", 8.257451995039132], ["FLL", 8.264298354606725], ["JAX", 8.352112676056338], ["MIA", 8.4322574515446], ["SAN", 8.53061224489796], ["MHT", 8.63548883756736], ["ISP", 8.671151247081951], ["DEN", 8.697775417109291], ["DTW", 8.78563930296032], ["MKE", 8.888018979833927], ["LAX", 8.990450584090487], ["STL", 9.036910264236505], ["BWI", 9.100973313400553], ["SDF", 9.145758231194424], ["RSW", 9.174812642554578], ["PDX", 9.24], ["BUR", 9.245901639344263], ["ATL", 9.306492247223112], ["ABE", 9.467069154774972], ["DAY", 9.511920627869095], ["PVD", 9.61805879608026], ["ORF", 9.631848064280497], ["ROC", 9.72137657180675], ["HOU", 9.828489208633094], ["TUL", 9.860557768924302], ["OKC", 10.045871559633028], ["SJU", 10.120612307797678], ["MLI", 10.200725513905683], ["ALB", 10.333472541240342], ["LEX", 10.664122137404581], ["BOS", 10.747007661035617], ["PWM", 10.847107438016529], ["LIT", 11.0], ["SYR", 11.059153799879688], ["AUS", 11.183340982101882], ["MDT", 11.331168831168831], ["ORD", 11.581694525175928], ["TYS", 11.612403100775193], ["PHL", 11.653999829975346], ["JFK", 11.99289760424065], ["LAS", 12.194380469829571], ["GRR", 12.302923976608188], ["EYW", 12.412213740458014], ["RIC", 12.423267326732674], ["ACY", 12.460992907801419], ["PIE", 12.5], ["OMA", 12.521739130434783], ["SWF", 12.52800435019032], ["LGA", 12.542221965251077], ["PHX", 12.843218012081275], ["HPN", 13.394560107454668], ["ICT", 13.563106796116505], ["SEA", 14.193157327586206], ["EWR", 14.669736488303307], ["FNT", 14.915966386554622], ["BTV", 14.945017182130584], ["GNV", 16.0], ["TRI", 17.434782608695652], ["PSE", 20.745967741935484], ["BQN", 23.732604373757454]]
"MDT"	[["BDL", 2.0], ["CLE", 2.5738665308201734], ["ITH", 3.2857142857142856], ["BWI", 3.5089285714285716], ["CLT", 4.324086006918537], ["STL", 4.76], ["PHL", 4.789976133651551], ["PIT", 4.8479018969151175], ["DTW", 4.957288401253918], ["RDU", 5.903846153846154], ["MCO", 5.970684039087948], ["ABE", 7.979724321920854], ["CVG", 8.238304678128749], ["ORD", 11.392803463669605], ["ATL", 11.456020605280104], ["MSP", 11.46393762183236], ["BOS", 11.748160261651677], ["IAD", 12.564591181032572], ["AVP", 14.799086757990867], ["DFW", 17.81051175656985], ["LGA", 19.25], ["MHT", 20.0], ["HPN", 26.0], ["DCA", 33.0], ["MCN", 34.0], ["PVD", 61.0], ["JFK", 92.5], ["FLL", 225.0]]
"MDW"	[["EVV", 3.4050880626223092], ["DSM", 4.657587548638133], ["GSP", 4.737827715355805], ["MIA", 5.523003472222222], ["GSO", 5.649343232438606], ["IAH", 5.999095840867993], ["MEM", 6.0310880829015545], ["DAY", 6.253357206803939], ["SJU", 6.9365904365904365], ["DCA", 7.015882183078256], ["PIE", 7.309327548806942], ["PIT", 7.368198238880108], ["DET", 7.854870775347912], ["SRQ", 7.890036654448517], ["CVG", 7.91820418204182], ["MSP", 7.999842503149937], ["ICT", 8.46774193548387], ["RSW", 9.139492753623188], ["MCO", 9.312363776229754], ["DTW", 9.322478923997684], ["CLE", 9.745189156985404], ["DEN", 9.811785158751944], ["CLT", 9.864017301973506], ["MCI", 9.930819751350876], ["CMH", 9.95608458744162], ["DFW", 10.044498948843728], ["PBI", 10.180064308681672], ["BNA", 10.2825911235596], ["LIT", 10.423068599870158], ["SDF", 10.555031143646055], ["RNO", 10.612273361227336], ["TPA", 10.712156204073063], ["FLL", 10.785500747384155], ["MSY", 10.78810623556582], ["STL", 11.20477718068695], ["OMA", 11.404397399921855], ["SAN", 11.722686191511269], ["ISP", 11.753574504737296], ["IND", 11.842458453400702], ["BWI", 11.888153233490508], ["BOS", 11.899099352659723], ["LAS", 12.0869624807264], ["LAX", 12.223996070244382], ["PHX", 12.261887151310228], ["SNA", 12.369791666666666], ["PVD", 12.45699143905422], ["JAN", 12.513956872602195], ["BDL", 12.538408684897624], ["HOU", 12.815190759537977], ["SFO", 12.829300318889514], ["SEA", 12.865195490525306], ["RDU", 13.114983616324098], ["OAK", 13.17414013994284], ["IAD", 13.273946360153257], ["MHT", 13.316005331692812], ["ATL", 13.722115869017632], ["BUF", 13.920648711265565], ["LGA", 13.972570106180234], ["SJC", 14.398882681564245], ["BUR", 14.571428571428571], ["TUS", 15.0835734870317], ["SLC", 15.259693053311793], ["SAT", 15.472851871375857], ["AUS", 16.124591947769314], ["SMF", 16.131883387320684], ["EWR", 16.17799828494426], ["ABQ", 16.81613864067154], ["PHL", 16.825471394555635], ["ALB", 16.935983263598327], ["PDX", 17.59948096885813], ["BHM", 17.661131470453505], ["ORF", 19.08860075634792], ["JAX", 28.625], ["JFK", 285.0]]
"MEI"	[["CSG", 0.0], ["MGM", 0.0], ["PNS", 3.0], ["AEX", 8.25], ["ATL", 14.668960521550163], ["LFT", 15.220930232558139], ["CHA", 20.0]]
