"ALB"	[["AA", 5.368738461538461], ["PI", 5.952998379254457], ["NW", 6.210087617275335], ["EA", 6.4652094717668485], ["US", 6.755500811824646], ["ML (1)", 7.7], ["YV", 8.318181818181818], ["WN", 8.641867250182349], ["OH", 8.96922313229089], ["DL", 9.854607349646484], ["9E", 10.550877192982457], ["DH", 12.059709718905015], ["UA", 12.737151599177702], ["OO", 12.741935483870968], ["MQ", 13.055067761023096], ["XE", 15.515918427230046], ["9.0", 17.72826086956522], ["EV", 18.301693033583124]]
"ALO"	[["NW", 3.103211009174312], ["TW", 5.944444444444445], ["9.0", 11.429012345679013], ["9E", 20.045197740112993]]
"AMA"	[["DL", 4.405157977001228], ["EV", 4.686265286923801], ["AA", 4.820091923834537], ["WN", 6.919656480230175], ["CO", 8.35953978906999], ["XE", 8.547007320223912], ["MQ", 9.787684926029588], ["OO", 85.0]]
"ANC"	[["NW", 6.516601194640263], ["HA", 6.666666666666667], ["DL", 8.810213148305296], ["UA", 9.290625984429143], ["AS", 9.487360320311787], ["TW", 9.779517286366602], ["CO", 10.86297667901111], ["HP", 12.498326159732185], ["US", 15.787134502923976], ["F9", 17.460732984293195], ["AA", 21.338651196519216]]
"ANI"	[["AS", 8.853598014888338]]
"APF"	[["PI", 3.206140350877193], ["MQ", 5.950292397660819], ["EV", 13.174557431041581]]
"ASE"	[["YV", 15.127788649706458], ["OO", 16.93583980384144]]
"ATL"	[["9.0", 0.3333333333333333], ["ML (1)", 5.537835638730676], ["PI", 5.744632400780742], ["B6", 7.558011049723757], ["NW", 7.860075811701199], ["EA", 8.382424247305766], ["TW", 8.76951790126702], ["F9", 8.904717638856612], ["AA", 9.721759241314263], ["US", 10.094443294507272], ["DL", 10.441884032734537], ["XE", 11.016604265017092], ["PA (1)", 11.354221061792863], ["UA", 11.39576856347737], ["CO", 12.040634249110806], ["HP", 12.043810570486562], ["9E", 12.176120923913043], ["DH", 14.305848513902205], ["FL", 14.78242861610372], ["OO", 15.165832406377456], ["EV", 17.142422448963487], ["OH", 17.318459495351927], ["YV", 19.53402722177742], ["MQ", 24.93320610687023]]
"ATW"	[["NW", 2.8965188364329997], ["DH", 6.073966642494561], ["9.0", 7.5788912579957355], ["OH", 8.919503993274486], ["9E", 10.702086049543677], ["EV", 14.450906678460859], ["OO", 15.068082448469706], ["YV", 22.656997255978048]]
"AUS"	[["PA (1)", 1.7228661749209695], ["US", 4.032549562010143], ["NW", 4.213071895424837], ["TW", 4.623080141038666], ["HP", 5.536240215805068], ["F9", 5.744429160935351], ["XE", 6.252677550171571], ["DH", 6.3667481662591685], ["CO", 6.721506725967966], ["AA", 6.934499280320209], ["WN", 6.9423335689603825], ["DL", 7.44626963434839], ["9.0", 7.572677595628416], ["UA", 8.148521989906273], ["9E", 9.614733276883996], ["OO", 10.623184898354308], ["MQ", 10.823976221928666], ["YV", 11.212588100311425], ["OH", 11.58886075949367], ["EV", 12.540389229538789], ["B6", 14.81971102005607]]
