((u'MEM', u'SHV'), 3.4589312977099236)
((u'JFK', u'JAX'), 30.0)
((u'XNA', u'OKC'), 27.333333333333332)
((u'MEM', u'MKE'), 6.1321366531557615)
((u'IDA', u'SLC'), 3.8865397387646667)
((u'CAE', u'RDU'), 1.9678479230227646)
((u'STL', u'PSP'), 14.210843373493976)
((u'PIT', u'MHT'), 9.629527854109417)
((u'MDW', u'IAD'), 11.671971706454466)
((u'PHL', u'LGA'), 14.115402621722847)
((u'DCA', u'PHL'), 7.156221198156682)
((u'MCO', u'DAB'), 4.7592592592592595)
((u'CVG', u'GSP'), 11.438159156279962)
((u'IAD', u'RIC'), 10.99365367180417)
((u'DTW', u'SHV'), 0.0)
((u'SNA', u'SLC'), 9.249861033907726)
((u'MCI', u'IND'), 6.021787613655858)
((u'SUX', u'PHX'), 4.84664536741214)
((u'LEX', u'SHV'), 0.0)
((u'SAN', u'MDW'), 4.345872518286312)
((u'MCO', u'PNS'), 4.932325413966883)
((u'PHX', u'MSP'), 9.309194161543155)
((u'SBA', u'SLC'), 3.713924050632911)
((u'SWF', u'PHL'), 5.924731182795699)
((u'SNA', u'LAS'), 4.7894573730771395)
((u'ISP', u'BOS'), 10.074251497005989)
((u'ORD', u'CAK'), 10.945155393053016)
((u'EWR', u'ABE'), 60.0)
((u'ORF', u'BNA'), 1.7387387387387387)
((u'SDF', u'IND'), 4.315154128044838)
((u'GSO', u'MIA'), 8.252488213724464)
((u'BWI', u'SJC'), 12.182758620689656)
((u'FSD', u'DEN'), 6.134808440893259)
((u'ORD', u'MIA'), 12.47763272702866)
((u'EUG', u'LAX'), 8.130052724077329)
((u'DCA', u'ROC'), 6.205741989243239)
((u'EWR', u'HPN'), 5.475694444444445)
((u'LGA', u'CHO'), 11.472)
((u'ATL', u'PBI'), 10.800178233262782)
((u'ORD', u'MLB'), 0.0)
((u'AVL', u'ATL'), 7.142070165265294)
((u'HOU', u'MAF'), 8.099333737129013)
((u'LIT', u'MCI'), 18.0)
((u'MSP', u'FNT'), 5.8192090395480225)
((u'OKC', u'DTW'), 0.0)
((u'AGS', u'CAE'), 10.990873533246415)
((u'PHX', u'GCN'), 3.4241435562805873)
((u'GRB', u'MKE'), 1.1490683229813665)
((u'ORF', u'ORD'), 11.305551024846409)
((u'ORD', u'PBI'), 8.650345975299992)
((u'EVV', u'IND'), 2.7309083984003046)
((u'EGE', u'DTW'), 24.7125)
((u'SFO', u'HNL'), 15.930024019215372)
((u'BWI', u'GSP'), 5.428872497365648)
((u'SCK', u'LAX'), 3.63245646535754)
((u'FWA', u'CLE'), 0.0)
((u'ORH', u'JFK'), 13.573705179282868)
((u'DTW', u'GSO'), 8.829629629629629)
((u'LIT', u'SDF'), 0.0)
((u'MEM', u'FAT'), 4.833333333333333)
((u'DTW', u'DEN'), 10.250693879839636)
((u'BWI', u'SAN'), 15.375886524822695)
((u'SLC', u'SNA'), 6.994099815957562)
((u'PHL', u'SWF'), 10.4)
((u'JAX', u'MLB'), 12.74937655860349)
((u'IAH', u'MFE'), 6.6099467504096125)
((u'LAX', u'EGE'), 6.861256544502618)
((u'FLL', u'BDL'), 16.202860696517412)
((u'MCN', u'VLD'), 1.0)
((u'CLE', u'SFO'), 11.960298478905578)
((u'LAX', u'IPL'), 1.9608355091383811)
((u'DFW', u'MLB'), 4.5588235294117645)
((u'DTW', u'SDF'), 7.427477562292098)
((u'LGB', u'ATL'), 3.7017994858611827)
((u'BWI', u'IAD'), 3.097902097902098)
((u'SHV', u'STL'), 6.166923472008218)
((u'RNO', u'DFW'), 7.232872733308436)
((u'CRP', u'BRO'), 18.5)
((u'MTJ', u'DEN'), 6.413856529736358)
((u'SJC', u'BWI'), 2.5104166666666665)
((u'VPS', u'XNA'), 0.0)
((u'PBI', u'GSO'), 4.415384615384616)
((u'AMA', u'DFW'), 5.114992206319966)
((u'DFW', u'MTJ'), 8.094462540716613)
((u'DFW', u'IND'), 9.64358911296934)
((u'PHX', u'ANC'), 27.06290672451193)
((u'MCI', u'LAX'), 10.32140563890024)
((u'CVG', u'CLE'), 5.9239630430509145)
((u'GSO', u'RDU'), 2.5082372322899507)
((u'MLB', u'TPA'), 2.282051282051282)
((u'GJT', u'MTJ'), 111.0)
((u'BOS', u'ISP'), 14.152562574493444)
((u'DCA', u'CMH'), 7.279256530198286)
((u'SMF', u'SAN'), 7.086522167487685)
((u'RDU', u'GSO'), 7.629114850036577)
((u'IYK', u'LAX'), 1.2622020431328036)
((u'PFN', u'TLH'), 0.0)
((u'TPA', u'CLT'), 7.833239118145845)
((u'LSE', u'MSP'), 3.2690217391304346)
((u'CLE', u'BWI'), 8.348031408570687)
((u'RNO', u'SEA'), 9.655634846761126)
((u'BWI', u'DAY'), 6.014961585119289)
((u'DAL', u'MSY'), 8.537728126354311)
((u'IAH', u'LRD'), 4.569095477386934)
((u'CVG', u'SYR'), 7.645082301727656)
((u'CLT', u'DFW'), 7.14872471416007)
((u'CRW', u'CLE'), 4.16)
((u'GEG', u'ORD'), 10.674735249621785)
((u'BNA', u'GUC'), 15.5)
((u'ORD', u'RNO'), 11.915964912280701)
((u'CVG', u'EWR'), 11.918664171991386)
((u'BDL', u'CLE'), 4.122808165401727)
((u'SAV', u'GSP'), 1.6972318339100345)
((u'DEN', u'MEM'), 6.226960110041265)
((u'IND', u'MSY'), 4.797974413646055)
((u'AUS', u'DAL'), 6.567033790364876)
((u'IPL', u'LAX'), 4.330708661417323)
((u'SAN', u'HNL'), 15.237386269644334)
((u'MAZ', u'SJU'), 7.7785714285714285)
((u'IAD', u'ROA'), 10.633397312859884)
((u'ORD', u'CLT'), 9.840322869955157)
((u'SRQ', u'BOS'), 20.79268292682927)
((u'TPA', u'MEM'), 4.840709101419487)
((u'MHT', u'MCO'), 5.0509244242620825)
((u'CLE', u'MDW'), 7.820935109795213)
((u'GSO', u'PBI'), 3.549618320610687)
((u'ATL', u'STT'), 10.617721143873167)
((u'BUR', u'SEA'), 8.509668874172185)
((u'LBB', u'LAS'), 4.776404494382023)
((u'OAK', u'MSY'), 2.6750524109014675)
((u'LNK', u'STL'), 5.181451931432183)
((u'IAD', u'SJC'), 10.966855295068715)
((u'DTW', u'COS'), 13.311724137931034)
((u'BOS', u'CMH'), 11.206455862977602)
((u'LAS', u'ICT'), 7.411506582155046)
((u'BGR', u'PIT'), 3.992424242424242)
((u'ROA', u'BWI'), 4.494694365565685)
((u'ATL', u'GUC'), 11.36978417266187)
((u'DTW', u'BNA'), 7.339149805086319)
((u'MSY', u'JAN'), 13.436416184971097)
((u'SYR', u'CVG'), 4.592587508579273)
((u'DAY', u'BDL'), 3.0920245398773005)
((u'GNV', u'ATL'), 6.761449353448276)
((u'IAD', u'SAN'), 9.94591972838608)
((u'IAH', u'JAC'), 5.886904761904762)
((u'RDU', u'ORD'), 9.07887217413228)
